Abbott & Abbott,+44 1424 839671,"25 Devonshire Road, Bexhill"
Abbott & Frost,+44 1278 285904,"18 College Street, Burnham On Sea, TA8 1AE"
Abbotts,+44 1953 536933,"20 Exchange Street, Attleborough, NR17 2AB"
Abby Homes,+44 20 3641 9892,"3 Pepper Street, London, E14 9RB"
Abby Properties,+44 20 8022 6042,"14 Tillier Road, Docklands, London, E14 8PX "
